Sentence #,Word,POS,Tag
Sentence: 1,The,_,O
,absence,_,B-Quality
,of,_,O
,many,_,O
,other,_,O
,organisms,_,B-Biotic_Entity
,on,_,O
,the,_,O
,leaves,_,B-Biotic_Entity
,of,_,O
,planted,_,B-Eventuality
,trees,_,B-Biotic_Entity
,-,_,O
,except,_,O
,for,_,O
,the,_,O
,probably,_,O
,Asian,_,B-Biotic_Entity
,horse-chestnut,_,I-Biotic_Entity
,scale,_,I-Biotic_Entity
,insect,_,I-Biotic_Entity
,Pulvinaria,_,B-Biotic_Entity
,regalis,_,I-Biotic_Entity
,Canard,_,O
,the,_,O
,dothidiomycete,_,B-Biotic_Entity
,leaf,_,I-Biotic_Entity
,blotch,_,I-Biotic_Entity
,fungus,_,I-Biotic_Entity
,Guignardia,_,B-Biotic_Entity
,aesculi,_,I-Biotic_Entity
,(,_,O
,Peck,_,O
,),_,O
,V.B.,_,O
,Stewart,_,O
,of,_,O
,North,_,B-Location
,American,_,I-Location
,origin,_,B-Eventuality
,(,_,O
,Augustin,_,O
,2005,_,O
,),_,O
,and,_,O
,in,_,B-Time
,the,_,I-Time
,last,_,I-Time
,few,_,I-Time
,years,_,I-Time
,a,_,O
,powdery,_,B-Biotic_Entity
,mildew,_,I-Biotic_Entity
,Erysiphe,_,B-Biotic_Entity
,flexuosa,_,I-Biotic_Entity
,(,_,O
,Peck,_,O
,),_,O
,U.,_,O
,Braun,_,O
,et,_,O
,S.,_,O
,Takamatsuhas,_,O
,that,_,O
,is,_,O
,either,_,O
,invasive,_,B-Quality
,from,_,O
,North,_,B-Location
,America,_,I-Location
,or,_,O
,may,_,O
,be,_,O
,of,_,O
,Balkan,_,B-Location
,origin,_,B-Eventuality
,(,_,O
,Denchev,_,O
,2008,_,O
,),_,O
,-,_,O
,has,_,O
,given,_,O
,this,_,O
,moth,_,B-Biotic_Entity
,an,_,O
,almost,_,O
,free,_,B-Eventuality
,reign,_,I-Eventuality
,to,_,O
,colonise,_,B-Eventuality
,clean,_,B-Quality
,plants,_,B-Biotic_Entity
,.,_,O
Sentence: 2,It,_,O
,should,_,O
,be,_,O
,noted,_,O
,in,_,O
,this,_,O
,respect,_,O
,that,_,O
,the,_,O
,niche,_,B-Quality
,is,_,O
,a,_,O
,vacant,_,O
,one,_,O
,as,_,O
,there,_,O
,are,_,O
,no,_,O
,other,_,O
,leaf-miners,_,B-Biotic_Entity
,nor,_,O
,other,_,O
,regular,_,O
,lepidopteran,_,B-Biotic_Entity
,herbivores,_,I-Biotic_Entity
,on,_,O
,horse-chestnut,_,B-Biotic_Entity
,although,_,O
,up,_,O
,to,_,O
,11,_,B-Value
,polyphagous,_,B-Quality
,species,_,B-Biotic_Entity
,of,_,O
,tortricids,_,B-Biotic_Entity
,geometrids,_,B-Biotic_Entity
,and,_,O
,noctuids,_,B-Biotic_Entity
,have,_,O
,been,_,O
,reported,_,O
,to,_,O
,attack,_,B-Eventuality
,the,_,O
,tree,_,B-Biotic_Entity
,outside,_,O
,its,_,O
,natural,_,B-Quality
,range,_,B-Quality
,in,_,O
,Turkey,_,B-Location
,(,_,O
,Cebeci,_,O
,and,_,O
,Acer,_,O
,2007,_,O
,),_,O
,.,_,O
Sentence: 3,24,_,B-Value
,species,_,B-Biotic_Entity
,mainly,_,O
,noctuids,_,B-Biotic_Entity
,lymantriids,_,B-Biotic_Entity
,geometrids,_,B-Biotic_Entity
,saturniids,_,B-Biotic_Entity
,and,_,O
,tortricids,_,B-Biotic_Entity
,are,_,O
,also,_,O
,recorded,_,O
,on,_,O
,the,_,O
,NHM,_,O
,hosts,_,O
,database,_,O
,feeding,_,B-Eventuality
,on,_,O
,A.,_,B-Biotic_Entity
,hippocastanum,_,I-Biotic_Entity
,but,_,O
,most,_,O
,of,_,O
,these,_,O
,are,_,O
,polyphagous,_,B-Quality
,nearctic,_,B-Quality
,species,_,B-Biotic_Entity
,and,_,O
,in,_,O
,Europe,_,B-Location
,only,_,O
,Acronicta,_,B-Biotic_Entity
,aceris,_,I-Biotic_Entity
,and,_,O
,Saturnia,_,B-Biotic_Entity
,pyri,_,I-Biotic_Entity
,and,_,O
,the,_,O
,internal,_,B-Quality
,feeder,_,B-Biotic_Entity
,Zeuzera,_,B-Biotic_Entity
,pyri,_,I-Biotic_Entity
,were,_,O
,previously,_,O
,recorded,_,O
,to,_,O
,feed,_,B-Eventuality
,this,_,O
,tree,_,B-Biotic_Entity
,.,_,O
Sentence: 4,Thus,_,O
,the,_,O
,report,_,O
,by,_,O
,Cebeci,_,O
,and,_,O
,Acer,_,O
,(,_,O
,2007,_,O
,),_,O
,that,_,O
,includes,_,O
,the,_,O
,Horse,_,B-Biotic_Entity
,Chestnut,_,I-Biotic_Entity
,moth,_,I-Biotic_Entity
,Pachycnemia,_,B-Biotic_Entity
,hippocastanaria,_,I-Biotic_Entity
,(,_,O
,Hübner,_,O
,1799,_,O
,),_,O
,(,_,O
,which,_,O
,is,_,O
,normally,_,O
,Erica-feeding,_,B-Eventuality
,),_,O
,as,_,O
,a,_,O
,"	_	O",,
,pest,_,B-Biotic_Entity
,"	_	O",,
,of,_,O
,the,_,O
,tree,_,B-Biotic_Entity
,seems,_,O
,surprising,_,O
,since,_,O
,there,_,O
,appears,_,O
,to,_,O
,be,_,O
,no,_,O
,other,_,O
,evidence,_,O
,that,_,O
,this,_,O
,species,_,B-Biotic_Entity
,regularly,_,O
,feeds,_,B-Eventuality
,on,_,I-Eventuality
,horse-chestnut,_,B-Biotic_Entity
,.,_,O
Sentence: 5,The,_,O
,names,_,O
,of,_,O
,this,_,O
,last,_,O
,species,_,B-Biotic_Entity
,and,_,O
,the,_,O
,March,_,B-Biotic_Entity
,Moth,_,I-Biotic_Entity
,Alsophila,_,B-Biotic_Entity
,aescularia,_,I-Biotic_Entity
,(,_,O
,[,_,O
,Denis,_,O
,&,_,O
,Schiffermücller,_,O
,],_,O
,1775,_,O
,),_,O
,seem,_,O
,more,_,O
,likely,_,O
,to,_,O
,have,_,O
,been,_,O
,derived,_,O
,from,_,O
,observations,_,O
,of,_,O
,the,_,O
,adults,_,B-Biotic_Entity
,sitting,_,B-Eventuality
,on,_,O
,the,_,O
,trunks,_,B-Biotic_Entity
,.,_,O
Sentence: 6,Most,_,O
,parasitoids,_,B-Biotic_Entity
,are,_,O
,generalist,_,B-Biotic_Entity
,and,_,O
,Cameraria,_,B-Biotic_Entity
,ohridella,_,I-Biotic_Entity
,has,_,O
,successfully,_,B-Eventuality
,recruited,_,B-Eventuality
,many,_,O
,species,_,B-Biotic_Entity
,.,_,O
Sentence: 7,The,_,O
,invasive,_,B-Quality
,moth,_,B-Biotic_Entity
,appears,_,O
,to,_,O
,have,_,O
,an,_,O
,ecosystem,_,B-Aggregate_Biotic_Abiotic_Entity
,impact,_,B-Eventuality
,by,_,O
,depressing,_,B-Eventuality
,the,_,O
,abundance,_,B-Quality
,of,_,O
,leaf,_,B-Biotic_Entity
,miner,_,I-Biotic_Entity
,communities,_,I-Biotic_Entity
,in,_,O
,the,_,O
,vicinity,_,O
,of,_,O
,infected,_,B-Eventuality
,trees,_,B-Biotic_Entity
,possibly,_,O
,via,_,O
,shared,_,B-Eventuality
,natural,_,B-Biotic_Entity
,enemies,_,I-Biotic_Entity
,.,_,O
Sentence: 8,Current,_,O
,research,_,O
,with,_,O
,the,_,O
,aim,_,O
,of,_,O
,finding,_,O
,a,_,O
,biocontrol,_,B-Eventuality
,agent,_,B-Biotic_Entity
,focuses,_,O
,on,_,O
